intent,entityName,energy_related,company_specific
reasonForPaymentAmountChange,noneEntity,0,1
reductionTariffs,noneEntity,0,1
registerEEGSystem,EEGSystemType_L,1,1
registerEEGSystem,EEGSystemType_L,1,1
registerEEGSystem,EEGSystemType_L,1,1
registerEEGSystem,EEGSystemType_L,1,1
registerEEGSystem,EEGSystemType_L,1,1
registerEEGSystem,EEGSystemType_L,1,1
registerEEGSystem,EEGSystemType_L,1,1
registerEEGSystem,noneEntity,1,1
registerForFibre,noneEntity,0,1
registerHC,noneEntity,0,1
registerHC,ProductTypeHC_L,0,1
registerHC,ProductTypeHC_L,0,1
registerHC,ProductTypeHC_L,0,1
registerHC,WallboxHC_L,0,1
registerPVSystem,noneEntity,1,1
registerPVSystem,pvType_L,1,1
registerPVSystem,pvType_L,1,1
reliefCalculation,noneEntity,1,1
reliefCalculation,priceControls,1,1
reliefCalculation,priceControls,1,1
reliefPackage,noneEntity,1,1
rentalService,noneEntity,0,1
rentalService,rentalItem,0,1
reportIncorrectDebit,noneEntity,0,1
requestBillingService,noneEntity,0,1
revocation,noneEntity,0,1
revocation,termination_L,0,1
rippleControl,malfunction_L,0,1
rippleControl,noneEntity,0,1
SA_bonusProgram,bonusType_L,0,1
SA_bonusProgram,bonusType_L,0,1
SA_bonusProgram,bonusType_L,0,1
SA_bonusProgram,bonusType_L,0,1
SA_bonusProgram,noneEntity,0,1
SA_businessCustomers,noneEntity,0,1
SA_calculatorRedirect,noneEntity,0,1
SA_calculatorRedirect,ProductType_L,0,1
SA_changeSupplier,adverbialMarker_L,0,1
SA_changeSupplier,noneEntity,0,1
SA_climateNeutralGas,noneEntity,1,1
SA_contractConfirmation,noneEntity,0,1
SA_contractTerms,noneEntity,0,1
SA_deadlinePeriodEnd,noneEntity,0,1
SA_deliveryArea,noneEntity,0,1
SA_deliveryArea,ProductType_L,0,1
SA_directMarketing,noneEntity,1,1
SA_districtHeat,noneEntity,1,1
SA_fundingConsulting,noneEntity,1,1
SA_industrialCustomers,noneEntity,0,1
SA_priceGuarantee,noneEntity,1,1
SA_publicSectorCustomers,noneEntity,1,1
SA_serviceOverview,noneEntity,0,1
SA_transferContract,caseOfDeath_L,0,1
SA_transferContract,noneEntity,0,1
salesOverview,noneEntity,0,1
scheduleAndMap,noneEntity,0,1
sequenceNumber,noneEntity,0,1
SM_aboutUs,noneEntity,0,1
SM_address,noneEntity,0,1
SM_basicOrReplacementSupplier,noneEntity,1,1
SM_bot,noneEntity,0,0
SM_career,noneEntity,0,1
SM_certifications,noneEntity,0,1
SM_changeCustomerData,noneEntity,0,1
SM_chargingStation,chargingStationSpecification_L,0,1
SM_chargingStation,chargingStationSpecification_L,0,1
SM_chargingStation,noneEntity,0,1
SM_cloudService,noneEntity,0,1
SM_collectiveTaxi,noneEntity,0,1
SM_complaint,noneEntity,0,1
SM_constructionSite,noneEntity,0,1
SM_contact,noneEntity,0,1
SM_contactRequest,noneEntity,0,1
SM_contractTermination,noneEntity,0,1
SM_currentDate,noneEntity,0,0
SM_currentEvents,event,0,1
SM_currentEvents,noneEntity,0,1
SM_currentNews,noneEntity,1,1
SM_customerReferral,noneEntity,0,1
SM_customerService,noneEntity,0,1
SM_dataPrivacy,noneEntity,1,1
SM_ecologicalProducts,noneEntity,0,1
SM_ecologicalProducts,ProductType_L,0,1
SM_ecologicalProducts,ProductType_L,0,1
SM_emobility,customerType_L,1,1
SM_emobility,noneEntity,1,1
SM_empathyEmotion,noneEntity,0,0
SM_energyCertificate,noneEntity,1,1
SM_energyConsulting,noneEntity,1,1
SM_energyGiftCard,noneEntity,0,1
SM_englishRequest,noneEntity,0,1
SM_favouriteColour,noneEntity,0,0
SM_gardenWaterMeter,noneEntity,1,1
SM_gasConversion,noneEntity,1,1
SM_goodbye,noneEntity,0,0
SM_greeting,noneEntity,0,0
SM_heatContracting,noneEntity,1,1
SM_heatContracting,topicSpecification_L,1,0
SM_heatContracting,topicSpecification_L,0,1
SM_heatContracting,topicSpecification_L,1,1
SM_heatContracting,topicSpecification_L,1,1
SM_heatPump,noneEntity,1,1
SM_heatPump,topicSpecification_L,1,1
SM_heatPump,topicSpecification_L,1,1
SM_houseConnection,noneEntity,1,1
SM_howAreYou,noneEntity,0,1
SM_imprint,noneEntity,0,1
SM_internet,noneEntity,0,1
SM_jobCenterCostAbsorption,noneEntity,1,1
SM_joke,noneEntity,0,0
SM_lightingRental,noneEntity,0,1
SM_loyaltyCard,noneEntity,0,1
SM_meteringPointOperation,noneEntity,1,1
SM_naturalGasStation,noneEntity,1,0
SM_negativeEmotion,noneEntity,0,1
SM_openingHoursCustomerCenter,noneEntity,0,1
SM_parking,noneEntity,0,1
SM_pedelec,noneEntity,1,1
SM_photovoltaicRegister,noneEntity,1,1
SM_powerConsumedOnSite,noneEntity,1,1
SM_powerGridOperator,noneEntity,1,1
SM_prizeCompetition,noneEntity,0,1
SM_rainwater,fees,1,1
SM_rainwater,fees,1,1
SM_rainwater,noneEntity,1,1
SM_receivableManagement,noneEntity,0,1
SM_renovation,noneEntity,1,1
SM_saveEnergy,noneEntity,1,1
SM_schoolCommunication,noneEntity,0,1
SM_socialCommitment,noneEntity,0,1
SM_solarProducts,noneEntity,1,1
SM_solarProducts,solarProduct,1,1
SM_sponsoring,noneEntity,0,1
SM_standPipe,noneEntity,0,1
SM_sustainability,noneEntity,1,1
SM_swimmingPool,noneEntity,0,1
SM_tariffsAndPricesInfo,noneEntity,0,1
SM_tariffsAndPricesInfo,ProductType_L,0,1
SM_technicalMalfunction,noneEntity,0,1
SM_tenderOffer,noneEntity,1,1
SM_termsAndConditions,noneEntity,0,1
SM_thanks,noneEntity,0,0
SM_thermography,noneEntity,0,1
SM_wallbox,noneEntity,1,1
SM_wasteDisposal,fees,0,1
SM_wasteDisposal,fees,0,1
SM_wasteDisposal,noneEntity,0,1
SM_water,noneEntity,0,1
SM_water,waterProperties_L,0,1
SM_water,waterProperties_L,0,1
SM_weather,noneEntity,0,0
smartMeterUpgrade,noneEntity,1,1
socialMedia,noneEntity,0,1
specialTariffEmobility,noneEntity,1,1
specificEEGProcess,noneEntity,0,1
specificEEGProcess,ProcessingSteps_L,0,1
specificEEGProcess,ProcessingSteps_L,0,1
specificEEGProcess,ProcessingSteps_L,0,1
specificEEGProcess,ProcessingSteps_L,0,1
specificEEGProcess,ProcessingSteps_L,0,1
specificEEGProcess,ProcessingSteps_L,1,1
startOfSupply,noneEntity,0,1
supplySecurity,noneEntity,1,0
TAMInfo,noneEntity,1,1
telcoConsulting,noneEntity,0,1
telcoDeviceDelivery,noneEntity,0,1
telcoDeviceSetup,noneEntity,0,1
telcoDeviceSetup,telcoProduct_L,0,1
telcoDeviceSetup,telcoProduct_L,0,1
telcoInstallerAppointment,noneEntity,0,1
telcoOverview,noneEntity,1,0
telcoOwnDevices,noneEntity,0,1
terminationStatus,noneEntity,0,1
thermalInsulationOrdinance,noneEntity,1,0
utilitiesFailure,noneEntity,0,1
vatReduction,noneEntity,1,0
vehicleRegistrationCertificate,noneEntity,0,1
viewCustomerData,noneEntity,0,1
welcome,noneEntity,0,0
